JanDeDobbeleer/oh-my-posh,Elite,High,Medium,High,High
aws/aws-cli,High,Medium,Medium,Elite,High
Budibase/budibase,Elite,Medium,Medium,High,High
mishoo/UglifyJS,High,Medium,Medium,Elite,High
concourse/concourse,High,Low,Medium,Elite,High
projectcalico/calico,High,Medium,Low,Elite,High
streamlit/streamlit,High,High,Medium,High,High
Uniswap/interface,High,High,Medium,High,High
nlohmann/json,Medium,Medium,Medium,Elite,Medium
PCSX2/pcsx2,High,Low,Low,Elite,Medium
secdev/scapy,High,Low,Low,Elite,Medium
akveo/nebular,High,Medium,Medium,High,Medium
atom/atom,High,Medium,Medium,High,Medium
carbon-design-system/carbon,High,Medium,Medium,High,Medium
casdoor/casdoor,High,Medium,Medium,High,Medium
electron/electron,High,Medium,Medium,High,Medium
envoyproxy/envoy,High,Medium,Medium,High,Medium
framer/motion,High,Medium,Medium,High,Medium
goharbor/harbor,High,Medium,Medium,High,Medium
habitat-sh/habitat,High,Medium,Medium,High,Medium
HabitRPG/habitica,High,Medium,Medium,High,Medium
NativeScript/NativeScript,High,Medium,Medium,High,Medium
ng-alain/ng-alain,High,Medium,Medium,High,Medium
npm/cli,High,Medium,Medium,High,Medium
PrefectHQ/prefect,High,Medium,Medium,High,Medium
sourcegraph/sourcegraph,High,Medium,Medium,High,Medium
saleor/saleor,High,Medium,Medium,High,Medium
vector-im/element-web,High,Medium,Medium,High,Medium
TykTechnologies/tyk,High,Medium,Low,High,Medium
Shopify/polaris,High,Medium,Low,High,Medium
influxdata/influxdb,High,Low,Low,High,Medium
jenkins-x/jx,Elite,Medium,Medium,Terrible,Medium
meilisearch/meilisearch,High,Low,Low,High,Medium
musescore/MuseScore,Medium,Medium,Medium,High,Medium
matrix-org/synapse,High,Low,Low,High,Medium
xbmc/xbmc,Medium,Medium,Medium,High,Medium
zeek/zeek,Medium,Medium,Medium,High,Medium
aquasecurity/tfsec,High,High,Medium,Terrible,Medium
arco-design/arco-design,High,High,Medium,Terrible,Medium
aws/aws-cdk,High,High,Medium,Terrible,Medium
dankamongmen/notcurses,High,High,Medium,Terrible,Medium
elastic/eui,High,High,Medium,Terrible,Medium
goreleaser/goreleaser,High,High,Medium,Terrible,Medium
ipython/ipython,Medium,Medium,Low,High,Medium
jina-ai/jina,High,High,Medium,Terrible,Medium
MaaAssistantArknights/MaaAssistantArknights,High,High,Medium,Terrible,Medium
refined-github/refined-github,High,High,Medium,Terrible,Medium
remaxjs/remax,High,High,Medium,Terrible,Medium
typescript-eslint/typescript-eslint,High,High,Medium,Terrible,Medium
rollup/rollup,High,High,Medium,Terrible,Medium
solo-io/gloo,High,High,Medium,Terrible,Medium
swc-project/swc,High,High,Medium,Terrible,Medium
the1812/Bilibili-Evolved,High,High,Medium,Terrible,Medium
Tinkoff/taiga-ui,High,High,Medium,Terrible,Medium
ToolJet/ToolJet,High,High,Medium,Terrible,Medium
turbot/steampipe,High,High,Medium,Terrible,Medium
uber/baseweb,High,High,Medium,Terrible,Medium
vitejs/vite,High,High,Medium,Terrible,Medium
vuejs/core,High,High,Medium,Terrible,Medium
