facebook/react,140,229,15377,1369856771,1668719756
twbs/bootstrap,81,393,22025,1303937631,1668654748
webpack/webpack,590,288,15206,1331381483,1668007643
mui/material-ui,389,874,20829,1408389114,1668718918
nodejs/node,759,410,37575,1234742520,1668738095
jquery/jquery,154,108,6585,1142998387,1668687741
strapi/strapi,264,519,25182,1443652216,1668690502
TryGhost/Ghost,610,917,31898,1367665753,1668724288
prettier/prettier,118,604,6963,1480439650,1668736488
serverless/serverless,365,407,15526,1429588150,1668690006
mermaid-js/mermaid,106,177,6336,1414885952,1668702669
atom/atom,568,316,38531,1313727119,1668609065
Leaflet/Leaflet,56,127,7471,1283352930,1668673677
yarnpkg/yarn,171,114,2353,1453543577,1662404051
vuejs/vue-cli,182,119,3531,1514148206,1667962736
GoogleChrome/lighthouse,119,374,5445,1452878000,1668635348
sequelize/sequelize,617,186,9684,1279826724,1668713663
swagger-api/swagger-ui,299,155,5503,1311616565,1668731811
mochajs/mocha,190,110,3594,1314587614,1668536838
rollup/rollup,609,257,5052,1431642351,1668230677
eslint/eslint,314,697,8672,1372549714,1668680246
avajs/ava,103,102,1954,1416331152,1668434988
handsontable/handsontable,206,143,7714,1306190479,1668590153
youzan/vant-weapp,130,126,2479,1482136217,1668739972
Budibase/budibase,1584,136,27529,1553031921,1668704824
appium/appium,533,179,9254,1357771790,1668730464
ToolJet/ToolJet,136,708,3477,1617197929,1668689324
bootstrap-vue/bootstrap-vue,154,224,5347,1475942330,1666746599
ether/etherpad-lite,61,102,8021,1301145041,1667822990
Semantic-Org/Semantic-UI-React,305,124,3105,1443708831,1666171473
mishoo/UglifyJS,271,890,3298,1338116941,1668393326
reactioncommerce/reaction,187,134,21137,1379518236,1667279005
wenzhixin/bootstrap-table,59,380,4660,1377012908,1668323783
caddyserver/caddy,116,119,1533,1553623254,1668443882
prometheus/prometheus,275,148,10565,1353755652,1668680318
etcd-io/etcd,229,146,18820,1370565812,1668733423
ethereum/go-ethereum,193,147,13801,1388058352,1668695583
go-gitea/gitea,164,1687,14144,1392170503,1668738779
moby/moby,338,549,45002,1358554419,1668727537
hashicorp/terraform,260,1828,30595,1400714933,1668712697
kubernetes/kubernetes,976,5098,112132,1402098048,1668639048
cli/cli,104,390,6118,1570159231,1668517870
docker/compose,199,194,3687,1586184040,1668711657
hashicorp/consul,214,207,19263,1383603327,1668728545
hashicorp/vault,193,147,16223,1424823359,1668732658
portainer/portainer,108,302,3559,1370736734,1668730689
influxdata/influxdb,401,526,35221,1365690807,1668712990
kubernetes/minikube,137,1009,20253,1460759915,1668627174
pingcap/tidb,240,3210,18974,1441512282,1668739435
cockroachdb/cockroach,302,2846,74913,1391645927,1668734074
helm/helm,171,249,6722,1446508376,1668614229
dapr/dapr,139,483,3706,1561069106,1668721975
grpc/grpc-go,132,301,4319,1421456611,1668621727
containers/podman,175,1262,17192,1509548487,1668732875
dgraph-io/dgraph,163,147,5765,1440486956,1668720459
goharbor/harbor,230,156,11460,1454327950,1668739070
vitessio/vitess,113,316,31994,1330154383,1668734803
pulumi/pulumi,364,610,8440,1475967685,1668726569
milvus-io/milvus,257,523,16083,1552908789,1668739628
kubernetes/kops,195,143,18403,1459205428,1668736950
hashicorp/packer,110,829,18064,1364017313,1668463313
containerd/containerd,156,154,11270,1446766193,1668734268
hashicorp/nomad,201,583,23976,1433154060,1668729573
cilium/cilium,471,724,20949,1450269211,1668727384
GoogleContainerTools/skaffold,124,422,8411,1515007955,1668729955
gravitational/teleport,1419,542,9760,1425324960,1668734742
golangci/golangci-lint,117,103,2081,1525441275,1668457672
argoproj/argo-workflows,299,858,3945,1508276328,1668542780
nats-io/nats-server,78,111,6543,1351527145,1668705277
kubernetes/dashboard,60,138,4402,1444950554,1668444401
influxdata/telegraf,212,848,7066,1427905724,1668693784
projectdiscovery/nuclei,60,245,3447,1585939587,1668680945
goreleaser/goreleaser,507,187,4187,1482323734,1668740248
argoproj/argo-cd,238,707,4734,1518655987,1668723796
elastic/beats,223,678,16031,1391626862,1668698907
cert-manager/cert-manager,145,384,7287,1500453553,1668702050
tailscale/tailscale,85,265,4855,1580508004,1668723443
rook/rook,160,703,9335,1468017869,1668710570
JanDeDobbeleer/oh-my-posh,897,111,2206,1552475670,1668714761
openshift/origin,72,255,35176,1406744262,1668657264
twpayne/chezmoi,151,143,3832,1541021802,1668463185
TykTechnologies/tyk,365,204,4037,1399472198,1668690737
hashicorp/terraform-provider-aws,286,1673,59116,1401409718,1668720530
vmware-tanzu/velero,103,132,3399,1501694837,1668736613
sourcegraph/sourcegraph,474,1237,26017,1493875306,1668731385
concourse/concourse,371,305,26490,1397434264,1668569057
crossplane/crossplane,89,112,4201,1536384153,1668730873
operator-framework/operator-sdk,99,153,3105,1518026032,1668715298
kubeedge/kubeedge,53,220,4526,1538125070,1668581104
aquasecurity/tfsec,322,103,1305,1551718642,1666715376
chaos-mesh/chaos-mesh,59,118,1641,1567564195,1668679435
scrapy/scrapy,108,107,9425,1241460980,1668588474
huggingface/transformers,112,120,11360,1540821362,1668714586
scikit-learn/scikit-learn,100,669,29252,1262697992,1668712662
python/cpython,525,130,115297,650211915,1668733567
ansible/ansible,471,5652,53227,1330024644,1668726781
yt-dlp/yt-dlp,68,268,21279,1216674751,1668737043
localstack/localstack,57,212,3793,1471333372,1668710807
pandas-dev/pandas,139,3039,30699,1249052836,1668735586
pypa/pipenv,339,118,8039,1484873062,1668331715
certbot/certbot,117,283,10592,1337280610,1668720920
explosion/spaCy,128,202,15693,1404400540,1668677101
tqdm/tqdm,152,102,1928,1382813404,1662202582
python-poetry/poetry,118,228,2666,1519163262,1668622518
numpy/numpy,210,511,30825,1008690310,1668731585
streamlit/streamlit,1107,265,5101,1515543330,1668735044
freqtrade/freqtrade,66,133,18666,1494609116,1668711526
bokeh/bokeh,103,1192,19869,1332650781,1668665730
saleor/saleor,428,253,20060,1360687599,1668696189
Lightning-AI/lightning,151,759,8185,1553993158,1668726598
celery/celery,227,163,12068,1240572600,1668613049
ipython/ipython,107,385,26166,1120672352,1668615098
zulip/zulip,93,564,49239,1346172110,1668673848
matplotlib/matplotlib,115,313,44944,1052752838,1668732462
jina-ai/jina,361,279,8019,1581613485,1668695125
huggingface/datasets,62,279,3201,1586853350,1668595270
RasaHQ/rasa,447,376,30798,1476448069,1668439982
mlflow/mlflow,108,207,3491,1528214934,1668729219
wagtail/wagtail,194,412,14165,1390393643,1668687857
saltstack/salt,237,1571,115261,1298233112,1668644419
aws/aws-cli,1851,128,10720,1353023040,1668712256
pydantic/pydantic,92,284,1461,1493846621,1668679316
frappe/erpnext,1024,332,43588,1307524035,1668686489
netbox-community/netbox,245,304,10512,1456849383,1668737095
ansible/awx,64,167,32600,1362060620,1668715857
PrefectHQ/prefect,153,171,13338,1626118590,1668729616
python-pillow/Pillow,82,104,14010,1280544061,1668634007
iterative/dvc,414,817,8149,1488615393,1668673886
pyinstaller/pyinstaller,55,105,8550,1125679389,1668632656
matrix-org/synapse,522,134,21809,1407852652,1668710049
pytest-dev/pytest,178,172,14798,1169648641,1668663051
pypa/pip,133,232,13428,1224108177,1668635747
secdev/scapy,527,126,6091,1048681573,1668600094
spyder-ide/spyder,185,413,26315,1249807817,1668733774
starship/starship,126,248,2433,1554175383,1668723658
meilisearch/meilisearch,157,149,4478,1524405274,1668691271
swc-project/swc,301,967,6192,1513947096,1668738991
