repo,deploymentFrequency,leadTimeForChanges,meanTimeToRecover,changeFailureRate
0xfe/vexflow,12.50719894676186,82.96347370724054,385.7805006613757,56
42wim/matterbridge,17.982049122195832,14.91587938367177,50.975586174242416,67.5925925925926
99designs/gqlgen,14.163988923499563,39.09486587510994,73.208835753367,50
activeloopai/deeplake,40.61437346228467,17.099491329410853,20.248781828703702,26.96629213483146
Activiti/Activiti,24.333040505594326,550.176722970369,242.10029879385965,5.590062111801243
aframevr/aframe,4.231677289541778,82.9480690645411,89.51567199775532,40
ajaxorg/ace,5.762979830529994,121.87220882599071,480.59900132275135,55.88235294117647
ajour/ajour,68.36735422414833,2.9117918405192396,5.856824074074074,40
ajv-validator/ajv,25.038384646298567,15.348229352916135,21.310940393518518,19.35483870967742
aksonov/react-native-router-flux,7.743326359751641,406.50988911551417,401.5470023148148,11.627906976744185
akveo/react-native-ui-kitten,6.8868639679978125,76.82074248529324,71.83907029478459,65.51724137931035
AlaSQL/alasql,9.064367710610268,29.915211679767605,347.26502256944445,46.3768115942029
albertlauncher/albert,10.727507640924733,47.697672353522954,45.22618398491084,20.77922077922078
Alexays/Waybar,11.18530461561034,49.336334895548255,147.83518190950383,83.33333333333333
alibaba/formily,57.338323233406626,38.10033420577449,8.171769484897519,30.555555555555557
alibaba/ice,30.61777807284684,53.38737332371778,26.029256258573387,44.73684210526316
alibaba/Sentinel,5.6912032281191935,39.53048641709238,80.13756515083632,75
allenai/allennlp,12.071038057410831,31.36451094081769,42.04529730031236,76.27118644067797
allure-framework/allure2,8.362110821267944,18.24588454518393,97.26898834019205,45.65217391304348
altair-graphql/altair,25.033248275114257,12.352281814646124,16.772117758784425,37.857142857142854
ampache/ampache,4.070940105317498,201.84840948181545,256.717987987988,32.075471698113205
anchore/grype,36.633685016126385,6.619091822187662,33.67019006799769,44.705882352941174
angular/angularfire,16.550229613044298,19.23011843607306,39.387611882716044,12.389380530973451
angular-fullstack/generator-angular-fullstack,19.925893836411156,46.770906548311295,107.73240797662415,28.235294117647058
angular/protractor,13.185643457200788,20.156513302214062,45.12955975651578,70.32967032967034
apache/dubbo-go,11.581125954086854,53.639783476642016,71.69818559368191,53.65853658536585
apache/incubator-heron,13.968682991187759,31.213036008814623,71.95552636876006,26.136363636363637
apache/incubator-kvrocks,18.011062652184435,60.494739027323895,82.86554586563308,50
apache/shardingsphere-elasticjob,3.7183893046823298,113.59884555623294,151.01493283776736,76
apidoc/apidoc,5.440835594522357,60.146917081218845,208.42176149940266,60.416666666666664
apify/crawlee,98.04131970660113,5.735495727552478,66.91572897049592,20.037105751391465
ApiGen/ApiGen,2.9248446309085545,254.29154274566903,681.6922407407408,30.303030303030305
apollographql/apollo-ios,21.105815083329325,35.781851016505634,70.7546513748597,32.55813953488372
apple/swift-nio,24.38321044676392,19.179696953807056,98.06714419056152,21.73913043478261
aquasecurity/kube-bench,8.297277359394638,31.082816252144085,76.18663393997446,50
aquasecurity/tfsec,86.15438370707226,4.04120575933076,15.13160445601852,48.40764331210191
archlinux/archinstall,17.733055123659906,29.723934570895015,69.11154057017544,76.47058823529412
area17/twill,16.940257428634048,80.49751320682172,429.15858921421426,25
arp242/goatcounter,9.382825045801967,52.12100143134999,66.20257733585858,20
arrow-py/arrow,5.703350603708178,111.60698239461193,405.6859212962963,67.3076923076923
