repo,deploymentFrequency,leadTimeForChanges,meanTimeToRecover,changeFailureRate
akveo/nebular,15.025654047708699,46.93310832064941,148.7307566798942,29.032258064516128
alibaba/nacos,11.405120771431697,32.61298432260545,65.12897425423161,91.48936170212765
amplication/amplication,42.3242461688295,20.65422641380835,29.460544576549555,82.41758241758242
angular/angular-cli,98.5834430139295,17.604283976773385,64.94734660779606,52.332361516034986
angular/angular,90.2467010929258,45.906162765578934,134.71080713966714,70.18813314037627
angular/flex-layout,13.417012865345141,68.42633823025095,92.43625146713616,32.05128205128205
ansible/awx,12.444490745610757,38.90039802075531,91.00725004326756,93.65079365079364
ant-design/ant-design,76.79345809283846,10.988910644724347,22.18006615192826,55.59502664298402
apache/echarts,12.07926517762094,44.65408678197201,131.4026079735917,76.57657657657657
apache/skywalking,8.398756439835246,71.97810501436581,76.9088295237119,67.34693877551021
appsmithorg/appsmith,69.42126375225486,10.637260622687128,39.7812338115325,68.84057971014492
aquasecurity/tfsec,86.15438370707226,4.04120575933076,14.787155474649408,48.40764331210191
arco-design/arco-design,50.249546398848345,0.9797175872955335,5.5902114197530866,64.15094339622641
argoproj/argo-cd,51.088132778298096,46.91371884486946,87.35754001362642,49.787234042553195
argoproj/argo-workflows,54.88188267519245,24.874361976273676,53.0925210838914,47.01754385964912
atom/atom,58.405705562584025,24.06297120389201,121.96952374969543,20.070422535211268
Automattic/simplenote-electron,24.2420518104218,18.07675146432375,155.5456202131916,34.074074074074076
avajs/ava,14.19970733701252,22.55396810949299,133.45293671461638,58.8235294117647
aws/aws-cdk,85.08983543479287,5.030897116367007,66.4323920301169,62.06896551724138
aws/aws-cli,186.7849331777906,10.475991834798926,78.92085093701486,8.96328293736501
babel/babel,95.85394958617363,142.12340315939028,117.60715228256863,43.354838709677416
backstage/backstage,83.93686276594998,10.291742189146156,30.00350275554285,83.33333333333333
bazelbuild/bazel,25.70936003583896,48.20883592648976,147.63024566048168,74.17582417582418
bitcoin/bitcoin,14.37109656059966,232.5126853071089,381.75716511665854,31.016042780748663
bokeh/bokeh,11.084268235823373,49.90922331430817,115.26386665630183,75.49019607843137
bootstrap-vue/bootstrap-vue,25.136943681462142,46.26409791401088,106.54855746371373,55.629139072847686
botpress/botpress,58.836171564678814,15.575676137903985,69.82201176697531,32.035928143712574
Budibase/budibase,490.0721699902646,11.04251765660004,20.056165271031507,26.214833759590793
bytecodealliance/wasmtime,11.904374067582003,272.9517262269289,64.75159473699159,67.85714285714286
caddyserver/caddy,15.146826371767713,21.62339053514299,49.18089446818613,46.017699115044245
canonical/multipass,12.688297792382636,69.77146567048906,129.18904246794872,45.16129032258065
carbon-design-system/carbon,149.3138509453773,88.60618041315013,56.10023562082048,21.852731591448933
casdoor/casdoor,260.6553397128129,10.940872038354653,10.665401066827696,26.363636363636363
celery/celery,16.83818941031342,92.91586838036586,220.49754242232936,60.08968609865471
certbot/certbot,16.21245276179189,54.87979335554766,127.3983055281613,76.52173913043478
cert-manager/cert-manager,27.07346241634502,24.858655462878872,78.80138821597761,62.043795620437955
CesiumGS/cesium,18.00640457102826,274.9166347329455,396.75618865538746,82.6086956521739
chainer/chainer,14.810424258344776,78.58868070959925,93.52923703223121,78.84615384615384
chaos-mesh/chaos-mesh,26.198148102049093,44.65483609872678,83.2349380387931,36.206896551724135
cilium/cilium,47.148042016405306,38.43175370474696,72.09952230148437,63.77358490566038
citusdata/citus,19.50616340579836,51.46192857794458,134.48342386831277,50
ckeditor/ckeditor5,10.378628503006732,515.1072380793433,125.06524289884663,72.3076923076923
clap-rs/clap,29.43938027490005,82.98377658279331,113.57997073659477,62.33183856502242
ClickHouse/ClickHouse,210.91969709371378,20.524620346612362,91.90479101460615,64.94925839188134
cli/cli,32.35233254174036,15.695843144647517,64.44180962895541,80.21978021978022
coder/code-server,23.34370846406538,15.466502585425077,51.377843298807285,53.48837209302326
conan-io/conan,38.380734262413924,18.3252874122589,36.729777474647264,61.886792452830186
concourse/concourse,44.19189754782275,306.593501827324,79.99001956086202,11.506849315068493
conda/conda,27.924981578347374,93.48159494922645,75.76550104346576,73.43173431734317
containerd/containerd,22.34621731682626,202.97487421465428,135.03078332256675,53.54838709677419
containers/podman,36.546593042956935,25.349200373397924,50.99651257809014,87.28323699421965
crossplane/crossplane,22.762012275102787,32.639901940577424,71.87171487603305,48.148148148148145
cupy/cupy,21.785192235327766,36.3495922432065,107.49081707558726,63.9344262295082
dagster-io/dagster,149.9604551498211,7.802119890987972,39.74226634837963,30.16949152542373
dankamongmen/notcurses,57.76826500654957,4.910305257206664,11.63271461288416,85.29411764705883
dapr/dapr,45.5005829021294,25.554394660701544,51.71822790658603,35.03649635036496
darkreader/darkreader,21.453797681385613,18.1935360693471,175.57437121342022,59.61538461538461
dbeaver/dbeaver,24.43792041212186,9.547200618701725,76.4650525737602,80.11695906432749
dbt-labs/dbt-core,21.78270134573686,30.646376094276093,66.05339703425228,60.583941605839414
defold/defold,23.014635524206504,47.420519826892104,115.4499313761056,76.37130801687763
denoland/deno,49.011982160786424,14.783599345171696,52.8665626893251,93.75
DevExpress/testcafe,54.377743009296736,9.800518801082058,65.51571864024585,49.307479224376735
dgraph-io/dgraph,22.556546222581005,48.770932985015236,88.04648148148148,44.05594405594405
directus/directus,43.20309327589814,21.170024119242004,24.09323293379549,51.351351351351354
docker/compose,22.145553892172604,117.71848068651117,32.35970915471923,37.94871794871795
eclipse/che,40.493640694076795,22.62625521736339,47.333649292516505,45.75645756457565
